Date,Close,Volume,Instrument,Ticker
,INFY.NS,INFY.NS,,
2025-04-30,1426.1212158203125,7704183,INFY,INFY.NS
2025-05-02,1432.5858154296875,7402310,INFY,INFY.NS
2025-05-05,1434.2020263671875,4282493,INFY,INFY.NS
2025-05-06,1436.958984375,4270530,INFY,INFY.NS
2025-05-07,1433.9168701171875,5691799,INFY,INFY.NS
2025-05-08,1436.8638916015625,8424409,INFY,INFY.NS
2025-05-09,1433.2513427734375,4478653,INFY,INFY.NS
2025-05-12,1546.6678466796875,11372857,INFY,INFY.NS
2025-05-13,1491.242919921875,12846210,INFY,INFY.NS
2025-05-14,1513.869384765625,4870057,INFY,INFY.NS
2025-05-15,1533.4534912109375,11151167,INFY,INFY.NS
2025-05-16,1511.49267578125,4576751,INFY,INFY.NS
2025-05-19,1482.8770751953125,8855798,INFY,INFY.NS
2025-05-20,1483.6375732421875,7143998,INFY,INFY.NS
2025-05-21,1491.1480712890625,4157309,INFY,INFY.NS
2025-05-22,1471.18359375,6158990,INFY,INFY.NS
2025-05-23,1487.6304931640625,5038421,INFY,INFY.NS
2025-05-26,1502.55615234375,3170102,INFY,INFY.NS
2025-05-27,1492.6690673828125,7775714,INFY,INFY.NS
2025-05-28,1494.2852783203125,3623370,INFY,INFY.NS
2025-05-29,1507.404541015625,8609500,INFY,INFY.NS
2025-05-30,1506.5369873046875,13148092,INFY,INFY.NS
2025-06-02,1497.9569091796875,4374509,INFY,INFY.NS
2025-06-03,1487.5450439453125,6853403,INFY,INFY.NS
2025-06-04,1495.4503173828125,4548307,INFY,INFY.NS
2025-06-05,1498.43896484375,6948539,INFY,INFY.NS
2025-06-06,1507.5975341796875,3960020,INFY,INFY.NS
2025-06-09,1516.3704833984375,2903202,INFY,INFY.NS
2025-06-10,1538.6402587890625,8591925,INFY,INFY.NS
2025-06-11,1572.4786376953125,10597410,INFY,INFY.NS
2025-06-12,1550.7874755859375,10483574,INFY,INFY.NS
2025-06-13,1544.4246826171875,6968315,INFY,INFY.NS
2025-06-16,1565.441162109375,5591842,INFY,INFY.NS
2025-06-17,1580.962646484375,7622083,INFY,INFY.NS
2025-06-18,1574.214111328125,5629707,INFY,INFY.NS
2025-06-19,1560.2352294921875,5147760,INFY,INFY.NS
2025-06-20,1564.573486328125,9202821,INFY,INFY.NS
2025-06-23,1527.071533203125,7943676,INFY,INFY.NS
2025-06-24,1524.7576904296875,8083992,INFY,INFY.NS
2025-06-25,1556.8609619140625,7813533,INFY,INFY.NS
2025-06-26,1557.9215087890625,6519233,INFY,INFY.NS
2025-06-27,1550.208984375,8912268,INFY,INFY.NS
2025-06-30,1544.2318115234375,6294505,INFY,INFY.NS
2025-07-01,1549.0521240234375,4178937,INFY,INFY.NS
2025-07-02,1552.619140625,8653641,INFY,INFY.NS
2025-07-03,1560.5244140625,5259695,INFY,INFY.NS
2025-07-04,1581.7337646484375,4411273,INFY,INFY.NS
2025-07-07,1568.526123046875,3294523,INFY,INFY.NS
2025-07-08,1579.8056640625,4590681,INFY,INFY.NS
2025-07-09,1574.9852294921875,4580828,INFY,INFY.NS
2025-07-10,1557.7286376953125,5330179,INFY,INFY.NS
2025-07-11,1537.579833984375,11391755,INFY,INFY.NS
2025-07-14,1513.8638916015625,9173426,INFY,INFY.NS
2025-07-15,1528.614013671875,7614807,INFY,INFY.NS
2025-07-16,1550.112548828125,6223491,INFY,INFY.NS
2025-07-17,1526.5894775390625,7374814,INFY,INFY.NS
2025-07-18,1529.0960693359375,5161833,INFY,INFY.NS
2025-07-21,1527.36083984375,3682661,INFY,INFY.NS
2025-07-22,1514.4423828125,8473741,INFY,INFY.NS
2025-07-23,1517.9129638671875,8035026,INFY,INFY.NS
2025-07-24,1496.70361328125,14169664,INFY,INFY.NS
2025-07-25,1461.2261962890625,10851259,INFY,INFY.NS
2025-07-28,1461.515380859375,6439855,INFY,INFY.NS
2025-07-29,1459.2979736328125,7070448,INFY,INFY.NS
2025-07-30,1464.40771484375,5719051,INFY,INFY.NS
2025-07-31,1454.76708984375,6851407,INFY,INFY.NS
2025-08-01,1416.782958984375,8702978,INFY,INFY.NS
2025-08-04,1427.291259765625,8610216,INFY,INFY.NS
2025-08-05,1407.8173828125,10213323,INFY,INFY.NS
2025-08-06,1385.0654296875,10566934,INFY,INFY.NS
2025-08-07,1385.25830078125,9892020,INFY,INFY.NS
2025-08-08,1371.9542236328125,10048009,INFY,INFY.NS
2025-08-11,1376.8709716796875,6625368,INFY,INFY.NS
2025-08-12,1372.918212890625,9899184,INFY,INFY.NS
2025-08-13,1375.328369140625,10318063,INFY,INFY.NS
2025-08-14,1395.6700439453125,12902347,INFY,INFY.NS
2025-08-18,1384.1978759765625,7254561,INFY,INFY.NS
2025-08-19,1388.246826171875,3986094,INFY,INFY.NS
2025-08-20,1442.427001953125,10413061,INFY,INFY.NS
2025-08-21,1442.619873046875,6565539,INFY,INFY.NS
2025-08-22,1434.0396728515625,5543397,INFY,INFY.NS
2025-08-25,1477.0367431640625,10694531,INFY,INFY.NS
2025-08-26,1474.6265869140625,15994798,INFY,INFY.NS
2025-08-28,1446.1868896484375,5443364,INFY,INFY.NS
2025-08-29,1416.782958984375,8169075,INFY,INFY.NS
2025-09-01,1445.511962890625,4546057,INFY,INFY.NS
2025-09-02,1444.837158203125,5218763,INFY,INFY.NS
2025-09-03,1425.941650390625,4623483,INFY,INFY.NS
2025-09-04,1410.420166015625,5787724,INFY,INFY.NS
2025-09-05,1392.6815185546875,5466487,INFY,INFY.NS
2025-09-08,1381.4019775390625,3811567,INFY,INFY.NS
2025-09-09,1450.2359619140625,13072640,INFY,INFY.NS
2025-09-10,1477.518798828125,7281071,INFY,INFY.NS
2025-09-11,1455.4417724609375,8003662,INFY,INFY.NS
2025-09-12,1470.7703857421875,12856963,INFY,INFY.NS
2025-09-15,1454.1885986328125,6167414,INFY,INFY.NS
2025-09-16,1456.9844970703125,8923112,INFY,INFY.NS
2025-09-17,1467.685546875,4795698,INFY,INFY.NS
2025-09-18,1485.2313232421875,9331945,INFY,INFY.NS
2025-09-19,1484.845703125,12988129,INFY,INFY.NS
2025-09-22,1445.6083984375,15655204,INFY,INFY.NS
2025-09-23,1443.6802978515625,9832164,INFY,INFY.NS
2025-09-24,1440.884521484375,4937004,INFY,INFY.NS
2025-09-25,1431.4368896484375,9491867,INFY,INFY.NS
2025-09-26,1396.8270263671875,8597058,INFY,INFY.NS
2025-09-29,1389.982177734375,10513117,INFY,INFY.NS
2025-09-30,1389.982177734375,7556305,INFY,INFY.NS
2025-10-01,1393.8385009765625,6250692,INFY,INFY.NS
2025-10-03,1394.609619140625,6877533,INFY,INFY.NS
2025-10-06,1422.9530029296875,4630590,INFY,INFY.NS
2025-10-07,1406.0819091796875,5570320,INFY,INFY.NS
2025-10-08,1441.2701416015625,4657192,INFY,INFY.NS
2025-10-09,1455.0562744140625,7028753,INFY,INFY.NS
2025-10-10,1460.4549560546875,3738353,INFY,INFY.NS
2025-10-13,1439.5347900390625,5859355,INFY,INFY.NS
2025-10-14,1436.353515625,5600789,INFY,INFY.NS
2025-10-15,1421.4105224609375,6986098,INFY,INFY.NS
2025-10-16,1418.61474609375,8005748,INFY,INFY.NS
2025-10-17,1389.3072509765625,16959378,INFY,INFY.NS
2025-10-20,1408.395751953125,6994246,INFY,INFY.NS
2025-10-21,1419.482421875,1698704,INFY,INFY.NS
2025-10-23,1473.566162109375,20358624,INFY,INFY.NS
2025-10-24,1470.57763671875,8652257,INFY,INFY.NS
2025-10-27,1472.633056640625,7273211,INFY,INFY.NS
2025-10-28,1468.4241943359375,8211019,INFY,INFY.NS
2025-10-29,1478.408203125,4884976,INFY,INFY.NS
2025-10-30,1462.1597900390625,5608867,INFY,INFY.NS
2025-10-31,1450.9034423828125,4819814,INFY,INFY.NS
2025-11-03,1454.0355224609375,5470600,INFY,INFY.NS
2025-11-04,1436.808349609375,8691330,INFY,INFY.NS
2025-11-06,1435.6336669921875,7944752,INFY,INFY.NS
2025-11-07,1445.5198974609375,8765759,INFY,INFY.NS
2025-11-10,1481.4425048828125,9787975,INFY,INFY.NS
2025-11-11,1497.88671875,13692989,INFY,INFY.NS
2025-11-12,1518.8333740234375,14635417,INFY,INFY.NS
2025-11-13,1509.14306640625,19655689,INFY,INFY.NS
2025-11-14,1470.9691162109375,9739549,INFY,INFY.NS
2025-11-17,1475.66748046875,7910354,INFY,INFY.NS
2025-11-18,1454.91650390625,7525119,INFY,INFY.NS
2025-11-19,1508.4578857421875,10981126,INFY,INFY.NS
2025-11-20,1503.955322265625,7387584,INFY,INFY.NS
2025-11-21,1512.2752685546875,9186302,INFY,INFY.NS
2025-11-24,1515.2117919921875,19270381,INFY,INFY.NS
2025-11-25,1498.1802978515625,8107952,INFY,INFY.NS
2025-11-26,1524.902099609375,7575038,INFY,INFY.NS
2025-11-27,1533.2220458984375,7552252,INFY,INFY.NS
2025-11-28,1527.055419921875,4453221,INFY,INFY.NS
2025-12-01,1530.872802734375,5341800,INFY,INFY.NS
2025-12-02,1527.9364013671875,6335969,INFY,INFY.NS
2025-12-03,1545.261474609375,12895312,INFY,INFY.NS
2025-12-04,1563.7611083984375,12609619,INFY,INFY.NS
2025-12-05,1581.9671630859375,10344725,INFY,INFY.NS
2025-12-08,1576.681640625,7550413,INFY,INFY.NS
2025-12-09,1565.1314697265625,6957599,INFY,INFY.NS
2025-12-10,1551.2322998046875,5116140,INFY,INFY.NS
2025-12-11,1564.1527099609375,5159319,INFY,INFY.NS
2025-12-12,1564.348388671875,4633912,INFY,INFY.NS
2025-12-15,1572.766357421875,4190558,INFY,INFY.NS
2025-12-16,1559.1607666015625,5499258,INFY,INFY.NS
2025-12-17,1568.0679931640625,4817628,INFY,INFY.NS
2025-12-18,1592.3427734375,6577293,INFY,INFY.NS
2025-12-19,1603.9906005859375,13149023,INFY,INFY.NS
2025-12-22,1653.8125,23098923,INFY,INFY.NS
2025-12-23,1632.9637451171875,6593060,INFY,INFY.NS
2025-12-24,1628.16748046875,4271167,INFY,INFY.NS
2025-12-26,1621.0220947265625,2006491,INFY,INFY.NS
